title,label,pseudo_label,weight
Modeling Finite Buffer Effects on TCP Traffic over an IEEE 802.11 Infrastructure WLAN ?,1,0,0.1
"A Taxonomy of Interaction Models for Internet and ATM Quality of Service Architectures, Telecommunication Systems Journal",1,0,0.1
Using Links to Classify Wikipedia Pages,1,0,0.1
? Printers,1,0,0.1
C.-H.: Cbs: A new classification method by using sequential patterns,1,0,0.1
This document in subdirectoryRS/04/12/ Lambda-Lifting in Quadratic Time ?,1,0,0.1
Runtime Support for Virtual BSP Computer ,1,0,0.1
"EURASIP Journal on Applied Signal Processing 2004:6, 786C797 c  2004 Hindawi Publishing Corporation Interaction between High-Level and Low-Level Image Analysis for Semantic Video Object Extraction",1,0,0.1
On contraction and the modal fragment,1,0,0.1
Reducing and Manipulating Complex Trace Data,1,0,0.1
SUMMARY,1,0,0.1
Region extraction with chromakey using stripe backgrounds,1,0,0.1
"The GAP Group, GAP--Groups, Algorithms, and Programming, Version 4.2",1,0,0.1
Efficient Detection of Incompleteness Errors in the Abstract Debugging of Logic Programs,1,0,0.1
On the Performance of Shared-Channel Multihop Lightwave Networks,1,0,0.1
"Consistency and set intersection, in",1,0,0.1
Structure Learning of Bayesian Networks using Constraints,1,0,0.1
Parsing with probabilistic strictly locally testable tree languages,1,0,0.1
"A semigroup approach to wreath-product extensions of Solomons descent algebras, arXiv:math/0710.2081. the electronic journal of combinatorics 16(2",1,0,0.1
  Timna: A Framework for Automatically Combining Aspect Mining Analyses,1,0,0.1
"of Communication Sciences, Korean Network Operations and Management Committee) and IEICE TM (Institute of Electronics, Information and Communication",1,0,0.1
Statistical Recognition of Motion Patterns,1,0,0.1
Cluster Computing Using MPI and Windows,1,0,0.1
www.elsevier.com/locate/entcs Reducing Symmetries to Generate Easier SAT Instances 1,1,0,0.1
Reliable Recovery of Piled Box-like Objects via Parabolically Deformable,1,0,0.1
minimization problem,1,0,0.1
Tomographic Reconstruction Using Information-Weighted Spline Smoothing,1,0,0.1
Model Checking Nash Equilibria in MAD Distributed Systems,1,0,0.1
Improved Topic-Dependent Language Modeling Using Information Retrieval Techniques,1,0,0.1
"Rethinking Chinese Word Segmentation: Tokenization, Character Classification, or Wordbreak Identification",1,0,0.1
A Handwritten Character Recognition Method Based on,1,0,0.1
fMRI-Compatible Robotic Interfaces with,1,0,0.1
Bitmap Indexes for Relational XML Twig Query Processing,1,0,0.1
 A Generic and Reconfigurable Test Paradigm using Low-Cost Integrated Poly-si Tfts,1,0,0.1
Low-Energy DSP Code Generation Using a Genetic Algorithm,1,0,0.1
A Hybrid Micro-Simulator for Determining the Effects,1,0,0.1
The Role(s) of Logic in Artificial Intelligence,1,0,0.1
A Layout Modification Approach to Via Minimization,1,0,0.1
Robust model-checking of linear-time properties in timed automata,1,0,0.1
Half-Day Tutorial: Evaluating Interactive Products for and with,1,0,0.1
identity-based,1,0,0.1
Haptic interaction with holographic video images,1,0,0.1
T.Gorchs: 'Algebraic Query Optimization in the CoOMS Structurally Object-Oriented Database System,1,0,0.1
A Statistical approach to line segmentation in handwritten documents. Center of Excellence for Document Analysis and Recognition,1,0,0.1
Games and Model Checking for Guarded Logics,1,0,0.1
The Complexity of Distinguishing Markov Random Fields,1,0,0.1
 Programming with Quantum Communication,1,0,0.1
Mining user web search activity with layered bayesian networks or how to capture a click in its context,1,0,0.1
Biped dynamic walking using reinforcement learning,1,0,0.1
Gene Ontology: Variable-width ASCII records,1,0,0.1
Journal of Machine Learning Research?? (200?)????-???? Submitted 11/07; Published?? Ranking Categorical Features Using Generalization Properties ?,1,0,0.1
ABSTRACT FPGA Device and Architecture Evaluation Considering Process Variations,1,0,0.1
"Modelling, Analysis and Execution of Multi-Robot Tasks using Petri Nets (Short Paper)",1,0,0.1
J Real-Time Image Proc DOI 10.1007/s11554-010-0156-7 SPECIAL ISSUE Bayesian real-time perception algorithms on GPU Real-time implementation of Bayesian models for multimodal perception using CUDA,1,0,0.1
Maximally Abstract Retrenchments,1,0,0.1
Abstract,1,0,0.1
Caring for agents and agents that care: Building empathic relations with synthetic agents,1,0,0.1
Collaborative Distributed Virtual Sculpting,1,0,0.1
"Thoughts on User Studies: Why, How, and When",1,0,0.1
Analysis of human motion using snakes and neural networks,1,0,0.1
"Developmental plasticity in linear genetic programming (ACM, Nominated for best paper award in the GP track in GECCO 09",1,0,0.1
A scalable hierarchical distributed language model,1,0,0.1
Taint Dependency Sequences: a characterization of insecure execution paths based on input-sensitive cause sequences ?,1,0,0.1
Compressed Video Indexing Based on Object's Motion,1,0,0.1
"2009 First International Conference on Advances in Databases, Knowledge, and Data Applications Towards Connecting Database Applications to Ontologies",1,0,0.1
Classifying Sentence-Based Summaries of Web Documents,1,0,0.1
interpretations,1,0,0.1
Automated Reasoning About Natural Language Correctness,1,0,0.1
"[16] R. Hartenstein, J. Becker, R. Kress: Custom Computing Machines vs. Hardware/Software Co-Design: from a",1,0,0.1
Model-based visual tracking for outdoor augmented reality,1,0,0.1
Session T2F TOP-DOWN EDUCATION FOR DIGITAL LOGIC DESIGN COURSE BASED ON CELLULAR METHODS,1,0,0.1
microarray data classification,1,0,0.1
Summary,1,0,0.1
Tracking Changes in User Interests with a Few,1,0,0.1
1 Optimal Constructions of Fault Tolerant Optical Linear Compressors and Linear Decompressors,1,0,0.1
Discrete Optimization A multi-period machine assignment problem,1,0,0.1
On-the-fly generation of k-path tests for C functions,1,0,0.1
Type reconstruction for general refinement types,1,0,0.1
BIOINFORMATICS APPLICATIONS NOTE,1,0,0.1
,1,0,0.1
Using,1,0,0.1
5 Open Group,1,0,0.1
doi:10.1093/nar/gki031 Entrez Gene: gene-centered information at NCBI,1,0,0.1
Nominals for Everyone ,1,0,0.1
Optimal linear feature transformations for semi-continuous hidden markov models. ICASSP-95,1,0,0.1
The alternating decision tree learning algorithm,1,0,0.1
Graph Walks and Graphical Models,1,0,0.1
"Papachristodoulou A: Efficient, sparse biological network determination",1,0,0.1
An Efficient Scheduling Scheme to Enhance the Capacity of VoIP Services in Evolved UTRA Uplink,1,0,0.1
A Comparison of Two Approaches to Splitting Default Theories,1,0,0.1
A Performance-Driven Placement Algorithm with Simultaneous PlaceRoute Optimization for Analog IC's,1,0,0.1
On the Capacity of the Interference Channel with a Relay,1,0,0.1
Optimal Representations of Polymorphic Types with Subtyping (Extended Abstract),1,0,0.1
2003): Time-Consistent Policies,1,0,0.1
VersaTutor -- Architecture for a Constraint-Based,1,0,0.1
Wild triangles in 3-connected matroids,1,0,0.1
Constructing Node-Disjoint Paths in Enhanced Pyramid Networks,1,0,0.1
Web Page Summarization Using Dynamic Content,1,0,0.1
Model checking groupware protocols,1,0,0.1
Efficient Distributed Shared State for Heterogeneous Machine Architectures,1,0,0.1
Empirical Requirements Analysis for Mars Surface Operations,1,0,0.1
Television Spectrum Why Communications Management? Calendar of Events,1,0,0.1
Dependency analysis in distributed systems using fault injection: Application to problem determination in an e-commerce environment,1,0,0.1
Set-membership adaptive equalization and an updator-shared implementation for multiple channel communication systems,1,0,0.1
Effects of individual's prior knowledge on collaborative knowledge construction and individual learning outcomes in videoconferencing,1,0,0.1
Mean Model Clustering,1,0,0.1
M.: An analytical model of information dissemination for a gossip-based protocol,1,0,0.1
Segmenting Unrestricted Chinese Text Into,1,0,0.1
Goal creation in motivated agents,1,0,0.1
Genetic Team Composition and Level of Selection in the Evolution of Cooperation,1,0,0.1
Asynchronous Binarization for Synchronous Grammars,1,0,0.1
Advice for Coordination,1,0,0.1
Consistency of Action Descriptions,1,0,0.1
Computing Department Database Systems: Challenges and Opportunities for Graphical HCI,1,0,0.1
A decision support system for adaptive real-time management of seasonal wetlands in California,1,0,0.1
Improving the Separation of Parallel Code in Skeletal Systems,1,0,0.1
Architectural Issues and Solutions in the Development of Data-Intensive Web Applications,1,0,0.1
Towards the Automatic Construction of Task Models from Object-Oriented Diagrams,1,0,0.1
References,1,0,0.1
"Software-Based Online Detection of Hardware Defects: Mechanisms, Architectural Support, and Evaluation",1,0,0.1
Categories and Subject Descriptors,1,0,0.1
I ..... 11 - 'l,1,0,0.1
Laboratories,1,0,0.1
Similarity in Programs,1,0,0.1
Automatic Generation of Content Management Systems from,1,0,0.1
Laser Intensity-Based Obstacle Detection,1,0,0.1
CONTROL COMPENSATION BASED ON UPPER BOUND DELAY IN NETWORKED CONTROL SYSTEMS,1,0,0.1
Abstract,1,0,0.1
Robust Matching and Recognition using Context-Dependent Kernels,1,0,0.1
various systems methods and techniques in,1,0,0.1
Deputy Commissioner T.P. Fitzgerald,1,0,0.1
Reactive Agents and Perceptual Ambiguity,1,0,0.1
Consistency Techniques for Interprocedural Test Data Generation,1,0,0.1
A unifying approximate dynamic programming model,1,0,0.1
NashWifi: Coordinated Management of Heterogenous Home 802.11 Networks Using Bargaining,1,0,0.1
The Arithmetic Precision of Ray-Polygon Intersection Testing,1,0,0.1
Exploiting Qualitative Spatial Neighborhoods in the Situation Calculus,1,0,0.1
"First experiences with Personal Networks as an enabling platform for service providers F.T.H. den Hartog, M.A. Blom, C.R. Lageweg,",1,0,0.1
Trec genomics special issue overview,1,0,0.1
1 An Approach to Model and Predict the Popularity of Online Contents with Explanatory Factors,1,0,0.1
CLAM: Composition Language for Autonomous,1,0,0.1
BMC Bioinformatics Methodology article Graph-based iterative Group Analysis enhances microarray interpretation,1,0,0.1
Easiness in graph models,1,0,0.1
International insurance traffic with software agents,1,0,0.1
3D face modeling from stereo and differential,1,0,0.1
Combinatorial Classification of Pixels for Ridge Extraction in a Gray-scale Fingerprint Image,1,0,0.1
Policies For Content Filtering In Educational Networks: The Case Of Greece,1,0,0.1
On the influence of hyperarticulated speech on recognition performance,1,0,0.1
Curb cuts in the virtual community: Telework and persons with disabilities,1,0,0.1
An Algorithm for Computing the Outcome of Combinatorial Auctions with Proxy Bidding,1,0,0.1
Efficient extraction of schemas for XML documents,1,0,0.1
Systolic Arrays for the Recognition of Permutation-Invariant Segments,1,0,0.1
Probabilistically checkable proofs with low amortized query complexity,1,0,0.1
5,1,0,0.1
"Grouping, Segmentation and Recognition of Handwritten Social Security Images",1,0,0.1
Evaluation and Selection in Product Design for Mass Customization: A Knowledge Decision Support Approach,1,0,0.1
RT: A Role-based Trust-management Framework,1,0,0.1
"First, Scale Up to the Robotic Turing Test, Then Worry About Feeling",1,0,0.1
A Full Fill-Factor CCD Imager with,1,0,0.1
Lecture Notes in Computer Science 1 Session Report on Product Issues in Product Family Engineering,1,0,0.1
Heteroscedastic Regression in Computer Vision: Problems with Bilinear Constraint,1,0,0.1
Downloaded from,1,0,0.1
2- Centre d'Analyse et de Mathmatiques Sociales ?cole des Hautes ?tudes en Sciences Sociales,1,0,0.1
,1,0,0.1
Effect of electronic secondary markets on supply chain,1,0,0.1
Java Mobile Code Dynamic Verification by Bytecode Modification for Host Confidentiality,1,0,0.1
,1,0,0.1
Algorithmic Irreducibility in a Cellular Automata Universe 1,1,0,0.1
A Simple Algorithm for Topic Identification in 0-1 Data,1,0,0.1
Agent Based Trust Management Model Based on Weight Value Model for Online Auctions,1,0,0.1
Abstract Implicit Parallelism with Ordered Transactions,1,0,0.1
"Concentration: Algebra, Discrete Math.",1,0,0.1
General Terms,1,0,0.1
Coaching a Soccer Simulation Team in RoboCup Environment,1,0,0.1
Drawing Algorithms),1,0,0.1
"Training-free, generic object detection using locally adaptive regression kernels. Submitted to",1,0,0.1
Originally published at:,1,0,0.1
sensor networks,1,0,0.1
Proceedings of the Twenty-Second International Joint Conference on Artificial Intelligence User Similarity from Linked Taxonomies: Subjective Assessments of Items,1,0,0.1
Secure and Flexible Global File Sharing,1,0,0.1
"Publications Conferences [1] Topological and Geometric Guarantees for Edelsbrunners Wrap Algorithm. Written with E. A. Ramos, In",1,0,0.1
"Linearity, Persistence and Testing Semantics in the Asynchronous Pi-Calculus Abstract",1,0,0.1
GRENOBLE C RH?NE-ALPES,1,0,0.1
Cryptanalysis of CRUSH hash structure 1,1,0,0.1
Unsupervised segmentation of natural . . . ,1,0,0.1
c  Springer-Verlag 2005 Mixture models for capture-recapture count data,1,0,0.1
An Executable Specification of a Formal Argumentation Protocol,1,0,0.1
Thmes COM et COG  Systmes communicants et Systmes cognitifs,1,0,0.1
Computer Applications] (]]]])]]]C]]] Edge-limited scalable QoS flow set-up,1,0,0.1
A Modal Temporal Logic and its Models Underlying Variants of Planning Algorithms,1,0,0.1
Peer-to-Peer Keyword Search Using Keyword Relationship,1,0,0.1
"? 2003 Kluwer Academic Publishers, Manufactured in The Netherlands.",1,0,0.1
"On CCZ-equivalence and its use in secondary constructions of bent functions. Preprint available at IACR ePrint Archive, number 2009/042",1,0,0.1
"Towards efficient sampling: exploiting random walk strategies, AAAI",1,0,0.1
A Parallel BDI Agent Architecture,1,0,0.1
Quantifiers and Working Memory,1,0,0.1
Can matrix coherence be efficiently and accurately estimated?,1,0,0.1
Using assertions to help end-user programmers create dependable web macros,1,0,0.1
2004]: A Definable Nonstandard Model of the Reals,1,0,0.1
BMC Bioinformatics BioMed Central Methodology article,1,0,0.1
Processing Uncertainty and Indeterminacy in Information Systems success,1,0,0.1
Potential Fitness for Genetic Programming,1,0,0.1
Rapport de Recherche N  1483,1,0,0.1
A distributed coordinated atomic action scheme,1,0,0.1
Problem Description and an Integer Multicommodity Flow Model,1,0,0.1
Joint QoS Routing and Dynamic Capacity Dimensioning with Elastic Traffic: A Game Theoretical Perspective,1,0,0.1
County,1,0,0.1
Isomorphism for graphs of bounded feedback vertex set number,1,0,0.1
HumanCComputer Interaction,1,0,0.1
Progressive Image Transmission Applying Multipath Routing In Mobile Adhoc Networks,1,0,0.1
A Personal Software Process Tool for Eclipse Environment,1,0,0.1
Slicing LongRunning Queries,1,0,0.1
"Linear programming matching and appearance-adaptive object tracking, Energy Minimization Methods",1,0,0.1
"668 43 Neuwald AF, Liu JS, Lawrence CE. Gibbs motif sampling: detection of 669 bacterial outer membrane protein repeats",1,0,0.1
"Using Hidden Markov Models To Build An Automatic, Continuous And Probabilistic Sleep Stager For The Siesta Project",1,0,0.1
Constructing complete tables of quartic fields using Kummer theory,1,0,0.1
Methods for Porting Resources to the Semantic Web,1,0,0.1
Evaluation of the Information-Theoretic Construction of,1,0,0.1
GALL et al.: ON-LINE ADAPTION OF CLASS-SPECIFIC CODEBOOKS 1 On-line Adaption of Class-specific Codebooks for Instance Tracking,1,0,0.1
Context data in geo-referenced digital photo collections,1,0,0.1
"Security, Theory",1,0,0.1
  A behavioural theory of first-order CML  ,1,0,0.1
An Empirical Study of Cognition and Theatrical Improvisation,1,0,0.1
UML Specification of a Generic Model for Fault Diagnosis of Telecommunication Networks,1,0,0.1
ABSTRACT ADAPTIVE LMS AND MOBILE LEARNING,1,0,0.1
,1,0,0.1
Representation of Activity Knowledge for Project Management,1,0,0.1
Fault Models and Tests for a 2-Bit-per-Cell MLDRAM,1,0,0.1
 A Verified Compiler for an Impure Functional Language,1,0,0.1
Diffusion Model,1,0,0.1
"Theory, Languages",1,0,0.1
An Adaptive Channel Estimator For Cdma Systems In Multipath Fading,1,0,0.1
A Methodology for Developing Multiagent Systems as 3D Electronic Institutions,1,0,0.1
A Reliable Wireless Network Architecture,1,0,0.1
Computational Analysis of Predicational Structures in English,1,0,0.1
Segmentation of Postal Envelopes for Address Block Location: an approach based on feature selection in wavelet space,1,0,0.1
Pers Ubiquit Comput (2006) DOI 10.1007/s00779-006-0071-x ORIGINAL ARTICLE,1,0,0.1
Graph Model Based Indoor Tracking,1,0,0.1
Human visual perception and Kolmogorov complexity: Revisited,1,0,0.1
" Experiments of Vision Guided Walking of Humanoid Robot, KHR-2",1,0,0.1
Pacific Symposium on Biocomputing 9:89-92(2004) COMPUTATIONAL TOOLS FOR COMPLEX TRAIT GENE MAPPING,1,0,0.1
Email: ld3 @ ecs.soton.ac.uk Reducing Power Dissipation in SRAM during Test,1,0,0.1
The impact of topology on overlay routing service,1,0,0.1
"Vaseghi S.: Analysis, Modeling and Synthesis of Formants of British",1,0,0.1
Rapid sketch modeling of clouds,1,0,0.1
Middle Sized Soccer Robots: ARVAND,1,0,0.1
Grouping Heuristics for Word-Level Decision Diagrams,1,0,0.1
Quality-driven evaluation of trigger conditions on streaming time series,1,0,0.1
Improving Tree-to-Tree Translation with Packed Forests,1,0,0.1
"Roermund, Dynamic Translinear and Log-Domain Circuits: Analysis and Synthesis",1,0,0.1
Risk Balance in Exchange Protocols,1,0,0.1
ITP/OCL: A rewriting-based validation tool for UML+OCL static class diagrams. Submitted for publication. http://maude.sip. ucm.es/~clavel,1,0,0.1
Diplom-Informatiker,1,0,0.1
INTERSPEECH 2006- ICSLP Development of Advanced Dialog Systems with PATE,1,0,0.1
MR-FQ: A fair scheduling algorithm for wireless networks with variable transmission rates. Simulation: Transactions of The Society for Modeling and Simulation,1,0,0.1
Original Article From Biophysics to Behavior Catacomb2 and the Design of Biologically-Plausible Models for Spatial Navigation,1,0,0.1
Technical Notes and Correspondence_______________________________ The Wonham Filter With Random Parameters: Rate of Convergence and Error Bounds,1,0,0.1
Three semantics for distributed systems and their relations with alignment composition,1,0,0.1
Determining Characteristic Views of a 3D Object by Visual Hulls and Hausdorff Distance,1,0,0.1
Dynamic Remeshing and Applications,1,0,0.1
QStream: Deterministic Querying of Data Streams,1,0,0.1
Finding acceptable solutions faster using inadmissible information,1,0,0.1
CLARITY: Centre for Sensor Web Technologies,1,0,0.1
Verb Semantics And Lexical Selection,1,0,0.1
Communication Efficiency in Multi-Agent Systems,1,0,0.1
H.: Mapping ConcurTaskTrees into UML 2.0,1,0,0.1
"Europe, North America and the Pacific",1,0,0.1
No polynomial bound for the period of the parallel chip firing game on graphs,1,0,0.1
Preserving Confidentiality of Security Policies in Data Outsourcing,1,0,0.1
Lightning-2: A High-Performance Display Subsystem for PC Clusters,1,0,0.1
Fuzzy Tree Mining: Go soft on your nodes,1,0,0.1
Performance limits of alphabet diversities for FIR,1,0,0.1
Making Hand Geometry Verification System More Accurate Using Time Series Representation with R-K Band Learning,1,0,0.1
Active Learning for Statistical Phrase-based Machine Translation ,1,0,0.1
Exploring Individual and Collaborative Dimensions of Knowledge Building in an Online Learning Community of Practice,1,0,0.1
General Terms,1,0,0.1
Tableau systems for SHIO and SHIQ,1,0,0.1
 A Genetic Algorithm for Railway Scheduling Problems,1,0,0.1
Software Reuse for Mobile Robot Applications Through Analysis Patterns,1,0,0.1
Robust self-localisation and navigation based on hippocampal place cells. Neural Network,1,0,0.1
The personal rover project: The comprehensive design of a domestic personal robot,1,0,0.1
A generic approach to schedulability analysis of real-time tasks,1,0,0.1
DOI 10.1007/s11276-006-9146-x Efficient heuristics for data broadcasting on multiple channels,1,0,0.1
DFT for Controlled-Impedance I/O Buffers,1,0,0.1
Authors  Addresses,1,0,0.1
R.: Proposal for a Foreign Language Interface to Prolog,1,0,0.1
 Biopathways Representation and Simulation on Hybrid Functional Petri Net,1,0,0.1
On Reducing the Impact of Interdomain Route Changes,1,0,0.1
OPTIMAL COMPUTING BUDGET ALLOCATION UNDER CORRELATED SAMPLING,1,0,0.1
Discovering Spatial Interaction Patterns,1,0,0.1
Watermarking based Image Authentication using Feature Amplification,1,0,0.1
On the Inapproximability of Broadcasting Time (Extended Abstract),1,0,0.1
Approximation algorithms for single-minded envy-free profit-maximization problems with limited supply,1,0,0.1
Multilevel k-way hypergraph partitioning,1,0,0.1
On two problems in graph Ramsey theory,1,0,0.1
Analysis of Recurrent Patterns in Toroidal Magnetic Fields,1,0,0.1
A race-detection and flipping algorithm for automated testing of multi-threaded programs,1,0,0.1
Applications of Generalized Radial Basis Functions in Speaker Normalization and Identification,1,0,0.1
BioMed Central,1,0,0.1
Abstract The Internet Measurement Data Catalog,1,0,0.1
The Data Ring: Community Content Sharing,1,0,0.1
Fast and Regularized Local Metric for QueryCbased Operations,1,0,0.1
Mining Scientific Data,1,0,0.1
Chapter 18 DESIGN AND IMPLEMENTATION OF DIGITAL LIBRARIES,1,0,0.1
BitCube: A Three-Dimensional Bitmap Indexing for XML Documents,1,0,0.1
"Lexical Representation, Co-composition, and Linking Syntax and Semantics 1.0 Introduction 1",1,0,0.1
Interleaver Properties and Their Applications to the Trellis Complexity Analysis of Turbo Codes,1,0,0.1
Integration and synchronization of input modes during multimodal human-computer interaction,1,0,0.1
"[6] J. Brendle, Combinatorial Properties of Classic Forcing Notions, Annals",1,0,0.1
FACTORING BIVARIATE SPARSE (LACUNARY) POLYNOMIALS,1,0,0.1
A Novel Method for Tracking and Counting Pedestrians in Real-Time Using a Single Camera,1,0,0.1
Piccoli & Ives/Trust and Behavior Control TRUST AND THE UNINTENDED EFFECTS OF BEHAVIOR CONTROL IN VIRTUAL TEAMS 1,1,0,0.1
Date Date A General Framework for Flow Control in Wireless Networks,1,0,0.1
Efficient resource management for linear logic proof search,1,0,0.1
Intensional Associations Between Data and Metadata,1,0,0.1
IT-based Technological Systems in Engineering Education,1,0,0.1
m-Links: An Infrastructure for Very Small Internet Devices,1,0,0.1
online games,1,0,0.1
Design and Analysis of a layer Seven Network Processor Accelerator Using Reconfigurable Logic,1,0,0.1
Automatic scalability analysis of parallel programs based on modeling techniques,1,0,0.1
maps,1,0,0.1
TECHNICAL ARTICLE Underestimation of Rare Event Probabilities in Importance Sampling Simulations,1,0,0.1
Multilinguality in a text generation system for three Slavic languages,1,0,0.1
New Combined Attacks on Block Ciphers,1,0,0.1
Probabilistic detection and tracking at high frame rates using affine warping,1,0,0.1
Content-Triggered Trust Negotiation,1,0,0.1
Online Oblivious Routing,1,0,0.1
Delaunay-triangulation based complete coverage in wireless sensor networks,1,0,0.1
Database Isolation and Filtering against Data Corruption Attacks,1,0,0.1
Citations From References: 0 From Reviews: 0,1,0,0.1
An empirical evaluation of supervised learning in high dimensions,1,0,0.1
BIOINFORMATICS ORIGINAL PAPER doi:10.1093/bioinformatics/btm087 Data and text mining A new method to measure the semantic similarity of GO terms,1,0,0.1
ABSTRACT The Garbage Collection Advantage: Improving Program Locality,1,0,0.1
Analysis of Synchronization between Two Modules of Pulse Neural Networks with Excitatory and Inhibitory Connections Abstract,1,0,0.1
"Sensitivity Analysis for Selective Learning by Feedforward Neural Networks, accepted for Fundamenta Informaticae",1,0,0.1
Managing Geo Data for Location-based Services C The Hybris Framework,1,0,0.1
"An experimental extensible, reconfigurable platform for HTML-based applications",1,0,0.1
An Empirical Study of Self/Non-self Discrimination in Binary Data with a Kernel,1,0,0.1
STRAIGHT LINE EMBEDDINGS OF CUBIC PLANAR GRAPHS WITH INTEGER EDGE LENGTHS,1,0,0.1
Depatamento de Estat?stica C Universidade Federal de Minas Gerais (UFMG),1,0,0.1
BioMed Central,1,0,0.1
Cooperative Caching Middleware for Cluster-Based Servers,1,0,0.1
Y.: Adapt bagging to nearest neighbor classifiers,1,0,0.1
An Empirical Evaluation of System and Regression Testing Abstract,1,0,0.1
Abstract Fast optimal bandwidth selection for kernel density estimation,1,0,0.1
And Get Everywhere).,1,0,0.1
From the Editor in Chief When Disaster Strikes,1,0,0.1
Integrating implicit answers with object-oriented queries,1,0,0.1
"PNA Probability, Networks and Algorithms Probability, Networks and Algorithms Stability of size-based scheduling disciplines in",1,0,0.1
Learning Opportunity Costs in Multi-Robot Market Based Planners,1,0,0.1
GRAIL: Scalable Reachability Index for Large Graphs ?,1,0,0.1
tight frames with maximal robustness to erasures,1,0,0.1
Using Sentinels In Insert Sort,1,0,0.1
BMC Bioinformatics BioMed Central Methodology article,1,0,0.1
AN ABSTRACT REDUCTION MODEL FOR COMPUTER SECURITY RISK,1,0,0.1
"This article has been accepted for publication in a future issue of this journal, but has not been fully edited. Content may change prior to final publication. ENZWEILER AND GAVRILA: A MULTI-LEVEL MIXTURE-OF-EXPERTS FRAMEWORK FOR PEDESTRIAN CLASSIFICATION",1,0,0.1
The power of negative thinking: Exploiting,1,0,0.1
ABSTRACT Operating-System Controlled Network on Chip ?,1,0,0.1
The Mobile Devices and its Mobile Learning Usage Analysis,1,0,0.1
,1,0,0.1
,1,0,0.1
Index Pruning and Result Reranking: Effects on Ad-Hoc Retrieval and Named Page Finding (Wumpus At Trec 2006),1,0,0.1
"Social choice, merging and elections",1,0,0.1
General Terms,1,0,0.1
MrBrAQue: a Multimedia Medical Report Management System,1,0,0.1
 	 A Pragmatic Reconstruction of Prolog,1,0,0.1
Line Detection and Segmentation in Historical Church Registers,1,0,0.1
Kiva Systems,1,0,0.1
Agrobiological Resources,1,0,0.1
18 The Construction of Fuzzy-valued t-norms and t-conorms,1,0,0.1
Using Few Clues can Compensate the Small Amount of Resources Available for,1,0,0.1
A DDRR-Based Scheduler to Achieve Proportional Delay Differentiation,1,0,0.1
The NAROS Approach for IPv6 Multi-homing with Traffic Engineering,1,0,0.1
Boneh-Franklin identity based encryption revisited,1,0,0.1
SCREEN: Learning a Flat Syntactic and Semantic . . . ,1,0,0.1
High dynamic range imaging,1,0,0.1
An Ab-initio Tree-based Exploration to Enhance Sampling of Low-energy Protein Conformations,1,0,0.1
Double-sided MEMS mirror for L-switching Matrix,1,0,0.1
Goal Orientated Conversational Agents: Applications to Benefit Society,1,0,0.1
A routing fabric for monolithically stacked 3d-fpga,1,0,0.1
Extracting a Representation from Text for Semantic Analysis,1,0,0.1
E-learning by Doing with Computational Logic,1,0,0.1
"Guidance of an Ultrasound Probe by Visual Servoing, in &quot;Advanced Robotics, Special Issue on Selected papers from IROS05&quot;, vol. 20, n o 11",1,0,0.1
ABSTRACT Visually Guided Bottom-Up Table Detection and Segmentation in Web Documents ?,1,0,0.1
